category,asset,number_of_events,mean_abnormal_return_1d,median_abnormal_return_1d,mean_absolute_abnormal_return_1d,standard_deviation_1d,mean_abnormal_return_3d,mean_abnormal_return_5d,positive_reaction_rate,direction_accuracy,mean_volatility_change
Natural gas,ExxonMobil,2,0.009523756032313369,0.009523756032313369,0.013986234880780879,0.019779523054935966,0.023697139277837176,0.049768983364833874,0.5,0.5,-0.05581619666457263
Natural gas,BP,2,0.00045915689108538826,0.00045915689108538826,0.012731604740890134,0.018005208095340425,0.011419775557074352,0.04953418749796773,0.5,0.5,-0.011128216158176468
Natural gas,Energy ETF,2,0.0015525853929133637,0.0015525853929133637,0.012200007215965925,0.017253415665868636,0.01852922440383853,0.05240927033033499,0.5,0.5,-0.05967164272301195
Natural gas,Utilities ETF,2,-0.005143995923207467,-0.005143995923207467,0.009153360600239746,0.012944806702150582,-0.017234692747456426,-0.029214204407202238,0.5,0.5,-0.0030378873211038826
Natural gas,Chevron,2,-0.0032376891718903233,-0.0032376891718903233,0.006215806588512451,0.008790477978562349,0.004144176495785523,0.03119306473362099,0.5,0.5,-0.026537292552306052
OPEC decision,WTI Crude,6,-0.02484221520669568,-0.0067309890490307445,0.034194693694283296,0.055351515088475564,-0.003308892659326934,-0.4414592605832541,0.5,0.5,3.211178648546149
OPEC decision,Brent Crude,6,-0.023137170226323407,-0.007764992580849783,0.03221285853564145,0.044056515829493,-0.010911774146181571,-0.0325939936465852,0.3333333333333333,0.6666666666666666,-0.13669407514202556
OPEC decision,Natural Gas,6,-0.01654961217950629,0.004103183470226979,0.029067617580703697,0.04010257075190424,-0.014250636603911645,0.021455342981567944,0.5,0.5,-0.005294821066505649
OPEC decision,Oil Services ETF,6,-0.009748904122734103,-0.010399760247445822,0.021629213607662307,0.02559327687230808,-0.03482413055867604,-0.024067138538627447,0.5,0.5,-0.13221080104875294
OPEC decision,Shell,6,-0.019787387849152127,-0.011991111195812976,0.019787387849152127,0.012825700201181744,-0.031039487210096067,-0.028533071200948206,0.0,0.3333333333333333,-0.11488885928625321
OPEC decision,BP,6,-0.0170966148822335,-0.013961292274995651,0.01798582530205602,0.017835696279862447,-0.03212829289742738,-0.028273030757585988,0.16666666666666666,0.5,-0.16907320026558872
OPEC decision,TotalEnergies,6,-0.017974614545458845,-0.01383212238509074,0.017974614545458845,0.017758955567518303,-0.028502016925603724,-0.02626631785805437,0.0,0.3333333333333333,-0.1477616648732089
OPEC decision,ExxonMobil,6,-0.004117875458822788,-0.003746558850318382,0.017443426610012802,0.02529070902850909,-0.015396808218061034,-0.011473621785360266,0.16666666666666666,0.5,-0.035524614286355116
OPEC decision,Energy ETF,6,-0.0051751968384221025,-0.005809281053890114,0.01453973652686985,0.02036828590333013,-0.01779603538319169,-0.006701526621989695,0.16666666666666666,0.5,-0.10483524268752431
OPEC decision,Chevron,6,-0.003288813275649246,-0.00409859115472766,0.013705101095590552,0.020044585589066844,-0.011060060875106489,-0.0012042701479315077,0.5,0.8333333333333334,-0.20207144052176562
OPEC decision,Airlines ETF,6,0.008190749752541046,0.0015383202137869145,0.012024844435873335,0.017213414515529008,0.0009717690009096539,0.016559665911676347,0.6666666666666666,0.6666666666666666,-0.15632831302161707
OPEC decision,Utilities ETF,6,-0.002898676700461437,-0.0008283479255762338,0.00855135090639562,0.011990277407915069,-0.006497983990498002,-0.012595503540046312,0.3333333333333333,0.6666666666666666,-0.1150657722908975
Supply disruption,Natural Gas,5,-0.00172525376119399,0.009070954735867831,0.03441332536357562,0.0462999761243677,-0.010404094410104526,-0.028233091346913586,0.6,0.4,-0.025839902916905
Supply disruption,WTI Crude,5,0.021417826055993426,0.01652761856696916,0.021417826055993426,0.02498394144477576,0.007569931681621078,0.0058064041474817476,1.0,0.8,0.033913960629965094
Supply disruption,Brent Crude,5,0.01980879183826516,0.012942014799524282,0.01980879183826516,0.026326537047442245,0.00894722394589358,0.011177744979103376,1.0,0.8,0.010259618800962544
Supply disruption,Oil Services ETF,5,0.005350960518092496,0.010239504782270314,0.013791147574371544,0.015019993312073385,-0.004562287717174729,-0.006519232128060737,0.6,0.8,-0.05248420399268359
Supply disruption,BP,5,0.011483908280660881,0.006198055545652226,0.01317769281366019,0.01476658834434736,-0.000795203007022538,-0.0019156894526971113,0.8,0.6,-0.0016000779412471216
Supply disruption,Shell,5,0.007305336549234554,-0.0005676956725184645,0.011227557991365166,0.015596342178192018,-0.0026558301944563656,-0.004117423473860282,0.4,0.6,-0.019259628077917763
Supply disruption,Energy ETF,5,0.007876408626658792,0.005853863423729733,0.010068964059099784,0.013403181353483873,0.0029737697425782582,0.0010118743434978316,0.8,0.6,-0.00043444894826853985
Supply disruption,TotalEnergies,5,0.005708967704309176,0.002002956932354638,0.009673796134668945,0.012881685597627847,-0.009368994100691497,-0.0015464744841686916,0.6,0.8,-0.010063152276578724
Supply disruption,ExxonMobil,5,0.008290219424810962,0.002174915550966827,0.009459080693770683,0.0117369843884249,0.004818229469818669,0.004252903997421886,0.8,0.6,-0.0386997175645656
Supply disruption,Chevron,5,0.008966050210991727,0.003852522902599187,0.0093065081286831,0.013166128191543273,0.0015072880079917584,-0.0010944144203002715,0.8,0.6,0.014039314858251878
Supply disruption,Airlines ETF,5,-0.004032365520320558,-0.005982463407991245,0.007656859372758951,0.007564899858806722,-0.004529353135938874,0.0003228434554025661,0.2,0.4,-0.0035418126960525933
Supply disruption,Utilities ETF,5,0.004753763743147954,0.005403449681620653,0.004852431656018052,0.0034627175393869684,0.009017476229964672,0.0049233891804507214,0.8,1.0,0.014062046923857568
Weather disruption,Natural Gas,3,0.0031733546156021974,0.018206335276956476,0.02347273060485607,0.029172116334772936,0.01066761496888539,0.018417696543274225,0.6666666666666666,0.6666666666666666,-0.10688107434207533
Weather disruption,TotalEnergies,3,0.006666935038360171,-0.0016691633303405062,0.013461500933644843,0.02066004064832217,0.03231578024671811,0.02436626196246483,0.3333333333333333,0.3333333333333333,0.056872634859619194
Weather disruption,Airlines ETF,3,-0.005494710158197691,-0.011553566277907379,0.012926488797530148,0.014589198482890775,0.0006815307867323132,0.007886349549700467,0.3333333333333333,0.3333333333333333,0.06001000440432993
Weather disruption,Energy ETF,3,0.001647785041337298,-0.005290649711772399,0.01227832807495218,0.016878023213211555,0.02475468618042742,0.022652134287050558,0.3333333333333333,0.3333333333333333,0.058173828502258086
Weather disruption,Shell,3,0.010099471930871906,0.002960412841322313,0.012116161076799211,0.01780211882303684,0.030550424743458888,0.018775890671055045,0.6666666666666666,0.6666666666666666,-0.0010750249725569132
Weather disruption,BP,3,0.00627426448090936,-0.000484046051864917,0.012086872369492832,0.018821446014727083,0.025732317195928982,0.010588840383012962,0.3333333333333333,0.3333333333333333,-0.011010837202750942
Weather disruption,Oil Services ETF,3,0.00160271073495936,-0.0006132601468502585,0.01194646254392103,0.017717305370953104,0.03343558154038784,0.02492652196835236,0.3333333333333333,0.3333333333333333,-0.014718945217206495
Weather disruption,Chevron,3,-0.0024918954632745516,-0.006452980024692301,0.011799262410281286,0.014873402745415971,0.022487920806808098,0.014108114888357578,0.3333333333333333,0.3333333333333333,0.09613111649171678
Weather disruption,ExxonMobil,3,0.0016787913448803222,-0.003706204902448218,0.010896906780888579,0.015224131248247261,0.022314357497918585,0.024005232037434727,0.3333333333333333,0.3333333333333333,0.0912028405102722
Weather disruption,Utilities ETF,3,-0.008254628362099448,-0.005877063397308202,0.008465213639850052,0.009974132969551503,0.007071350184449339,-0.01350210724977515,0.3333333333333333,0.3333333333333333,0.13254361668171008
Weather disruption,WTI Crude,3,0.00013327110413977974,-0.0005133223659443686,0.006326839562508864,0.009250562000853332,0.0022574938286193946,-0.01329434825449205,0.3333333333333333,0.3333333333333333,-0.042943506225486816
Weather disruption,Brent Crude,3,0.002332620853346734,-0.00035907453034422776,0.005398524104333132,0.008254246394065782,-0.009378555778396858,-0.023654225964914732,0.3333333333333333,0.3333333333333333,-0.09265290773287087
